2022-01-10 17:44:55,935 - shioda_picard_computation.py:182 - INFO - ID: 4879, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 3, 1]), array([4, 0, 0, 0]), array([0, 4, 0, 0])]
2022-01-10 17:44:55,984 - shioda_picard_computation.py:182 - INFO - ID: 4889, rho=20, A=[array([0, 0, 0, 4]), array([0, 0, 3, 1]), array([4, 0, 0, 0]), array([1, 3, 0, 0])]
2022-01-10 17:44:56,039 - shioda_picard_computation.py:182 - INFO - ID: 5351, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([0, 3, 0, 1]), array([3, 0, 0, 1])]
2022-01-10 17:44:56,088 - shioda_picard_computation.py:182 - INFO - ID: 5352, rho=20, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([0, 3, 0, 1]), array([3, 0, 1, 0])]
2022-01-10 17:44:57,972 - shioda_picard_computation.py:182 - INFO - ID: 5353, rho=10, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([0, 3, 0, 1]), array([3, 1, 0, 0])]
2022-01-10 17:44:58,022 - shioda_picard_computation.py:182 - INFO - ID: 5354, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([0, 3, 0, 1]), array([4, 0, 0, 0])]
2022-01-10 17:44:58,073 - shioda_picard_computation.py:182 - INFO - ID: 5386, rho=20, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([0, 3, 1, 0]), array([3, 0, 0, 1])]
2022-01-10 17:44:58,122 - shioda_picard_computation.py:182 - INFO - ID: 5387, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([0, 3, 1, 0]), array([3, 0, 1, 0])]
2022-01-10 17:45:00,099 - shioda_picard_computation.py:182 - INFO - ID: 5388, rho=10, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([0, 3, 1, 0]), array([3, 1, 0, 0])]
2022-01-10 17:45:00,149 - shioda_picard_computation.py:182 - INFO - ID: 5389, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([0, 3, 1, 0]), array([4, 0, 0, 0])]
2022-01-10 17:45:00,200 - shioda_picard_computation.py:182 - INFO - ID: 5421, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([0, 4, 0, 0]), array([3, 0, 0, 1])]
2022-01-10 17:45:00,250 - shioda_picard_computation.py:182 - INFO - ID: 5422, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([0, 4, 0, 0]), array([3, 0, 1, 0])]
2022-01-10 17:45:00,299 - shioda_picard_computation.py:182 - INFO - ID: 5423, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([0, 4, 0, 0]), array([3, 1, 0, 0])]
2022-01-10 17:45:00,301 - shioda_picard_computation.py:182 - INFO - ID: 5424, rho=20, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([0, 4, 0, 0]), array([4, 0, 0, 0])]
2022-01-10 17:45:02,273 - shioda_picard_computation.py:182 - INFO - ID: 5771, rho=10, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([1, 3, 0, 0]), array([3, 0, 0, 1])]
2022-01-10 17:45:05,189 - shioda_picard_computation.py:182 - INFO - ID: 5772, rho=10, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([1, 3, 0, 0]), array([3, 0, 1, 0])]
2022-01-10 17:45:05,257 - shioda_picard_computation.py:182 - INFO - ID: 5773, rho=20, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([1, 3, 0, 0]), array([3, 1, 0, 0])]
